"","year_2"
"471","1958"
"472","2018"
"473","2018"
"474","2014"
"475","2015"
"476","2015"
"477","2017"
"478","2005"
"479","2007"
"480","2017"
"481","1945"
"482","2011"
"483","0"
"484","2015"
"485","2010"
"486","0"
"487","1985"
"488","1999"
"489","2017"
"490","0"
"491","2018"
"492","0"
"493","2018"
"494","2009"
"495","2018"
"496","1969"
"497","1825"
"498","0"
"499","2002"
"500","2016"
"501","1832"
"502","2017"
"503","2013"
"504","2015"
"505","0"
"506","2017"
"507","2005"
"508","2017"
"509","0"
"510","2015"
"511","2006"
"512","1929"
"513","2017"
"514","2018"
"515","2018"
"516","2017"
"517","0"
"518","2004"
"519","2015"
"520","1843"
"521","0"
"522","2017"
"523","2017"
"524","1994"
"525","0"
"526","2018"
"527","1847"
"528","2018"
"529","1980"
"530","2016"
"531","1925"
"532","2013"
"533","2013"
"534","2012"
"535","1985"
"536","2019"
"537","0"
"538","2017"
"539","2016"
"540","1950"
"541","2012"
"542","2018"
"543","0"
"544","2014"
"545","2012"
"546","2008"
"547","2017"
"548","2013"
"549","2013"
"550","2014"
"551","2018"
"552","1997"
"553","2016"
"554","0"
"555","2003"
"556","2013"
"557","2000"
"558","2004"
"559","1922"
"560","2013"
"561","2018"
"562","2015"
"563","2010"
"564","2014"
"565","2013"
"566","0"
"567","1974"
"568","0"
"569","2019"
"570","2017"
"571","0"
"572","1930"
"573","2019"
"574","2013"
"575","2019"
"576","2013"
"577","2016"
"578","0"
"579","2018"
"580","0"
"581","2014"
"582","1812"
"583","2011"
"584","0"
"585","1835"
"586","2014"
"587","0"
"588","0"
"589","2019"
"590","0"
"591","2017"
"592","2019"
"593","2013"
"594","2018"
"595","2007"
"596","2019"
"597","2010"
"598","2017"
"599","1920"
"600","2018"
"601","2014"
"602","2001"
"603","2015"
"604","2014"
"605","2017"
"606","2010"
"607","2019"
"608","2013"
"609","2018"
"610","2013"
"611","1950"
"612","2016"
"613","2007"
"614","2003"
"615","2019"
"616","2017"
"617","2017"
"618","2011"
"619","2012"
"620","2016"
"621","2017"
"622","0"
"623","2008"
"624","0"
"625","2012"
"626","2016"
"627","2013"
"628","2004"
"629","0"
"630","2019"
"631","0"
"632","2014"
"633","2015"
"634","0"
"635","2017"
"636","2009"
"637","0"
"638","2018"
"639","2018"
"640","1966"
"641","2008"
"642","2017"
"643","2013"
"644","1971"
"645","2015"
"646","1904"
"647","0"
"648","2007"
"649","0"
"650","2015"
"651","2006"
"652","1834"
"653","2020"
"654","2017"
"655","2013"
"656","2010"
"657","2016"
"658","1988"
"659","2007"
"660","1999"
"661","2019"
"662","2012"
"663","2019"
"664","2009"
"665","2017"
"666","1924"
"667","2012"
"668","1992"
"669","2010"
"670","2015"
"671","2002"
"672","0"
"673","2019"
"674","0"
"675","2014"
"676","2019"
"677","2012"
"678","2000"
"679","1885"
"680","2010"
"681","2008"
"682","2018"
"683","2018"
"684","0"
"685","2007"
"686","2019"
"687","2013"
"688","1991"
"689","2016"
"690","2018"
"691","2010"
