"","year_2"
"5912","2013"
"5913","0"
"5914","2017"
"5915","0"
"5916","2019"
"5917","2019"
"5918","2007"
"5919","2018"
"5920","2003"
"5921","2014"
"5922","2016"
"5923","2018"
"5924","2016"
"5925","0"
"5926","2013"
"5927","2005"
"5928","2012"
"5929","1901"
"5930","1873"
"5931","2016"
"5932","2012"
"5933","2017"
"5934","2010"
"5935","1835"
"5936","1946"
"5937","2011"
"5938","2017"
"5939","2008"
"5940","0"
"5941","0"
"5942","0"
"5943","2018"
"5944","2014"
"5945","0"
"5946","2012"
"5947","2002"
"5948","2004"
"5949","2017"
"5950","1996"
"5951","2018"
"5952","2017"
"5953","2013"
"5954","1980"
"5955","2011"
"5956","2010"
"5957","0"
"5958","2016"
"5959","0"
"5960","1881"
"5961","0"
"5962","0"
"5963","2016"
"5964","2019"
"5965","2015"
"5966","2008"
"5967","0"
"5968","1876"
"5969","2009"
"5970","2019"
"5971","0"
"5972","0"
"5973","2012"
"5974","0"
"5975","0"
"5976","1869"
"5977","2016"
"5978","2013"
"5979","2018"
"5980","2013"
"5981","1900"
"5982","2018"
"5983","0"
"5984","2012"
"5985","2019"
"5986","2003"
"5987","0"
"5988","2013"
"5989","2016"
"5990","2012"
"5991","0"
"5992","0"
"5993","2003"
"5994","2008"
"5995","2012"
"5996","1906"
"5997","2017"
"5998","2008"
"5999","2018"
"6000","1998"
"6001","1965"
"6002","0"
"6003","0"
"6004","0"
"6005","2014"
"6006","2009"
"6007","2012"
"6008","2017"
"6009","2006"
"6010","0"
"6011","2020"
"6012","0"
"6013","0"
"6014","2018"
"6015","0"
"6016","2016"
"6017","2014"
"6018","2019"
"6019","2017"
"6020","2001"
"6021","2009"
"6022","0"
"6023","2016"
"6024","2017"
"6025","2007"
"6026","1896"
"6027","2018"
"6028","0"
"6029","1991"
"6030","2018"
"6031","2015"
"6032","0"
"6033","2017"
"6034","2007"
"6035","2018"
"6036","2013"
"6037","0"
"6038","2017"
"6039","2009"
"6040","2017"
"6041","0"
"6042","1996"
"6043","1980"
"6044","2002"
"6045","2019"
"6046","2007"
"6047","2000"
"6048","2012"
"6049","0"
"6050","2014"
"6051","2015"
"6052","0"
"6053","2018"
"6054","2013"
"6055","2008"
"6056","2018"
"6057","2005"
"6058","2014"
"6059","2010"
"6060","1960"
"6061","1998"
"6062","2015"
"6063","1978"
"6064","2005"
"6065","0"
"6066","2016"
"6067","2017"
"6068","2010"
"6069","2018"
"6070","2018"
"6071","2018"
"6072","0"
"6073","2019"
"6074","2012"
"6075","2009"
"6076","2011"
"6077","2013"
"6078","2015"
"6079","2018"
"6080","2018"
"6081","2019"
"6082","2018"
"6083","1939"
"6084","2018"
"6085","2019"
"6086","2017"
"6087","1902"
"6088","2013"
"6089","1933"
"6090","2011"
"6091","2019"
"6092","2019"
"6093","1857"
"6094","2015"
"6095","2014"
"6096","2017"
"6097","2006"
"6098","2012"
"6099","2014"
"6100","2009"
"6101","2019"
"6102","2011"
"6103","0"
"6104","2004"
"6105","2009"
"6106","0"
"6107","1858"
"6108","2019"
"6109","2017"
"6110","2013"
"6111","2018"
"6112","0"
"6113","2016"
"6114","2011"
"6115","2009"
"6116","0"
"6117","2008"
"6118","1997"
"6119","2013"
"6120","0"
"6121","2015"
"6122","0"
"6123","2012"
"6124","2015"
"6125","2016"
"6126","2014"
"6127","0"
"6128","2014"
"6129","2012"
"6130","2014"
"6131","0"
"6132","2014"
"6133","0"
"6134","2008"
"6135","2010"
"6136","2019"
"6137","2016"
"6138","1992"
"6139","0"
"6140","2017"
"6141","2017"
"6142","0"
"6143","0"
"6144","1980"
"6145","2018"
"6146","2011"
"6147","2013"
"6148","2008"
"6149","2012"
"6150","2013"
"6151","1996"
"6152","2013"
"6153","2008"
"6154","1961"
"6155","2010"
"6156","2005"
"6157","1881"
"6158","1998"
"6159","0"
"6160","0"
"6161","2018"
"6162","2016"
"6163","2017"
"6164","0"
"6165","2014"
"6166","1990"
"6167","2011"
"6168","2018"
"6169","2013"
"6170","2015"
"6171","0"
"6172","2017"
"6173","2014"
"6174","2016"
"6175","2012"
"6176","2003"
"6177","2017"
"6178","2011"
"6179","0"
"6180","2016"
"6181","2013"
"6182","2018"
"6183","2012"
"6184","2016"
"6185","2013"
"6186","2018"
"6187","2013"
"6188","2014"
"6189","0"
"6190","2017"
"6191","2018"
"6192","2014"
"6193","2013"
"6194","2009"
"6195","2016"
"6196","2011"
"6197","2016"
"6198","0"
"6199","2010"
"6200","1998"
"6201","2008"
"6202","2014"
"6203","2008"
"6204","0"
"6205","2018"
"6206","2012"
"6207","0"
"6208","0"
"6209","2006"
"6210","2016"
"6211","2008"
"6212","0"
"6213","2011"
"6214","0"
"6215","1988"
"6216","1896"
"6217","0"
"6218","2019"
"6219","2014"
"6220","2016"
"6221","2017"
"6222","1673"
"6223","2019"
"6224","1851"
"6225","2018"
"6226","2013"
"6227","0"
"6228","2019"
"6229","2006"
"6230","2019"
"6231","0"
"6232","2011"
"6233","1903"
"6234","0"
"6235","0"
"6236","2016"
"6237","0"
"6238","2006"
"6239","2016"
"6240","2013"
"6241","0"
"6242","2015"
"6243","0"
"6244","2019"
"6245","0"
"6246","2014"
"6247","2012"
"6248","2018"
"6249","2016"
"6250","2011"
"6251","2016"
"6252","0"
"6253","0"
"6254","0"
"6255","2011"
"6256","2003"
"6257","2013"
"6258","2010"
"6259","2017"
"6260","2015"
"6261","2001"
"6262","0"
"6263","0"
"6264","2014"
"6265","2010"
"6266","2019"
"6267","0"
"6268","1972"
"6269","2011"
"6270","2013"
"6271","2014"
"6272","2012"
"6273","0"
"6274","0"
"6275","0"
"6276","2007"
"6277","1819"
"6278","2016"
"6279","2009"
"6280","2005"
"6281","2014"
"6282","2015"
"6283","2003"
"6284","2015"
"6285","1938"
"6286","2016"
"6287","2014"
"6288","2018"
"6289","2019"
"6290","2019"
"6291","1869"
"6292","2006"
"6293","2019"
"6294","2014"
"6295","2013"
"6296","0"
"6297","2018"
"6298","2019"
"6299","2016"
"6300","2013"
"6301","2009"
"6302","0"
"6303","2018"
"6304","0"
"6305","2019"
"6306","2009"
"6307","2014"
"6308","2018"
"6309","2017"
"6310","2018"
"6311","2014"
"6312","2013"
"6313","2016"
"6314","2018"
"6315","2012"
"6316","2015"
"6317","2010"
"6318","1997"
"6319","2019"
"6320","0"
"6321","2011"
"6322","1949"
"6323","2019"
"6324","2001"
"6325","2009"
"6326","2019"
"6327","0"
"6328","2017"
"6329","2018"
"6330","2009"
"6331","0"
"6332","2014"
"6333","2018"
"6334","2018"
"6335","2012"
"6336","0"
"6337","2012"
"6338","0"
"6339","2019"
"6340","2017"
"6341","2018"
"6342","2016"
"6343","2018"
"6344","2010"
"6345","2012"
"6346","0"
"6347","2017"
"6348","0"
"6349","2008"
"6350","0"
"6351","2011"
"6352","2013"
"6353","2016"
"6354","2017"
"6355","1994"
"6356","1897"
"6357","2017"
"6358","1938"
"6359","2016"
"6360","0"
"6361","0"
"6362","2012"
"6363","2019"
"6364","0"
"6365","0"
"6366","0"
"6367","2017"
"6368","2014"
"6369","0"
"6370","2013"
"6371","2016"
"6372","2006"
"6373","1939"
"6374","2017"
"6375","1896"
"6376","2018"
"6377","0"
"6378","0"
"6379","2016"
"6380","2018"
"6381","1938"
"6382","0"
"6383","2010"
"6384","2014"
"6385","2015"
"6386","2018"
"6387","2002"
"6388","2018"
"6389","2000"
"6390","1968"
"6391","0"
"6392","2009"
"6393","2017"
"6394","1902"
"6395","2014"
"6396","2014"
"6397","1918"
"6398","2015"
"6399","1993"
"6400","2017"
"6401","1883"
"6402","1880"
"6403","2018"
"6404","2019"
"6405","0"
"6406","2016"
"6407","2015"
"6408","2001"
"6409","2014"
"6410","2014"
"6411","2011"
"6412","2018"
"6413","0"
"6414","2017"
"6415","2018"
"6416","2013"
"6417","2019"
"6418","2018"
"6419","2012"
"6420","2018"
"6421","0"
"6422","2018"
"6423","2009"
"6424","2016"
"6425","0"
"6426","2017"
"6427","1947"
"6428","0"
"6429","0"
"6430","2013"
"6431","2013"
"6432","2017"
"6433","0"
"6434","0"
"6435","2019"
"6436","2012"
"6437","2012"
"6438","2008"
"6439","2017"
"6440","2011"
"6441","2005"
"6442","2018"
"6443","2017"
"6444","0"
"6445","0"
"6446","0"
"6447","2019"
"6448","0"
"6449","2012"
"6450","0"
"6451","1816"
"6452","2015"
"6453","2007"
"6454","0"
"6455","0"
"6456","2017"
"6457","2019"
"6458","1985"
"6459","0"
"6460","1859"
"6461","2017"
"6462","2002"
"6463","0"
"6464","2013"
"6465","1925"
"6466","0"
"6467","2018"
"6468","2019"
"6469","1825"
"6470","2013"
"6471","2018"
"6472","2015"
"6473","2016"
"6474","1987"
"6475","2009"
"6476","0"
"6477","0"
"6478","2013"
"6479","2019"
"6480","2016"
"6481","0"
"6482","1884"
"6483","0"
"6484","0"
"6485","0"
"6486","2017"
"6487","2014"
"6488","2013"
"6489","2016"
"6490","2011"
"6491","0"
"6492","2019"
"6493","2018"
"6494","0"
"6495","0"
"6496","2019"
"6497","2014"
"6498","2018"
"6499","0"
"6500","2018"
"6501","2012"
"6502","1727"
"6503","0"
"6504","0"
"6505","0"
"6506","2013"
"6507","0"
"6508","0"
"6509","0"
"6510","2011"
"6511","2015"
"6512","0"
"6513","0"
"6514","1990"
"6515","0"
"6516","2016"
"6517","0"
"6518","0"
"6519","0"
"6520","0"
"6521","2015"
"6522","2007"
"6523","2014"
"6524","0"
"6525","2015"
"6526","1898"
"6527","0"
"6528","2015"
"6529","2011"
"6530","2017"
"6531","1920"
"6532","2015"
"6533","2013"
"6534","2013"
"6535","2013"
"6536","2019"
"6537","2014"
"6538","2018"
"6539","1859"
"6540","2018"
"6541","2012"
"6542","2014"
"6543","2003"
"6544","0"
"6545","2009"
"6546","0"
"6547","0"
"6548","0"
"6549","2012"
"6550","2013"
"6551","2012"
"6552","1841"
"6553","2009"
"6554","2016"
"6555","2012"
"6556","0"
"6557","2012"
"6558","2019"
"6559","2009"
"6560","2016"
"6561","2013"
"6562","1933"
"6563","1978"
"6564","2019"
"6565","2008"
"6566","0"
"6567","2018"
"6568","0"
"6569","2007"
"6570","0"
"6571","2016"
"6572","2015"
"6573","0"
"6574","2019"
"6575","1930"
"6576","2019"
"6577","2017"
"6578","0"
"6579","1921"
"6580","2016"
"6581","1991"
"6582","2017"
"6583","1994"
"6584","2019"
"6585","0"
"6586","2019"
"6587","2015"
"6588","2015"
"6589","2016"
"6590","2004"
"6591","0"
"6592","2018"
"6593","0"
"6594","2013"
"6595","2015"
"6596","0"
"6597","2013"
"6598","1884"
"6599","2009"
"6600","2016"
"6601","1965"
"6602","0"
"6603","1919"
"6604","2005"
"6605","2019"
"6606","2012"
"6607","1909"
"6608","2018"
"6609","2016"
"6610","2016"
"6611","2016"
"6612","2015"
"6613","2012"
"6614","2015"
"6615","2016"
"6616","1994"
"6617","2013"
"6618","0"
"6619","2011"
"6620","2013"
"6621","2019"
"6622","2019"
"6623","2006"
"6624","2008"
"6625","2009"
"6626","2014"
"6627","2015"
"6628","2011"
"6629","2015"
"6630","2016"
"6631","2016"
"6632","2013"
"6633","0"
"6634","2012"
"6635","2014"
"6636","2000"
"6637","0"
"6638","2019"
"6639","2006"
"6640","2014"
"6641","2019"
"6642","2016"
"6643","0"
"6644","2017"
"6645","0"
"6646","2013"
"6647","2019"
"6648","2019"
"6649","2013"
"6650","2017"
"6651","2017"
"6652","2018"
"6653","2016"
"6654","2009"
"6655","0"
"6656","0"
"6657","1887"
"6658","0"
"6659","1938"
"6660","2017"
"6661","1945"
"6662","2011"
"6663","2019"
"6664","2019"
"6665","2015"
"6666","2013"
"6667","0"
"6668","2017"
"6669","2019"
"6670","2016"
"6671","1974"
"6672","2013"
"6673","2004"
"6674","2011"
"6675","2008"
"6676","1955"
"6677","2015"
"6678","2016"
"6679","0"
"6680","2013"
"6681","0"
"6682","0"
"6683","0"
"6684","0"
"6685","2018"
"6686","0"
"6687","2014"
"6688","2013"
"6689","2013"
"6690","2016"
"6691","2001"
"6692","2017"
"6693","2018"
"6694","2014"
"6695","0"
"6696","2013"
"6697","2015"
"6698","1944"
"6699","2012"
"6700","2010"
"6701","0"
"6702","2017"
"6703","2018"
"6704","2015"
"6705","0"
"6706","2018"
"6707","2016"
"6708","0"
"6709","1781"
"6710","1989"
"6711","2019"
"6712","2011"
"6713","2019"
"6714","0"
"6715","2010"
"6716","2018"
"6717","1965"
"6718","2016"
"6719","2018"
"6720","2019"
"6721","2016"
"6722","2002"
"6723","0"
"6724","2009"
"6725","1992"
"6726","2017"
"6727","2004"
"6728","1913"
"6729","2008"
"6730","2004"
"6731","0"
"6732","2016"
"6733","2011"
"6734","2015"
"6735","0"
"6736","2013"
"6737","2011"
"6738","2014"
"6739","2012"
"6740","2007"
"6741","2005"
"6742","2017"
"6743","2012"
"6744","2012"
"6745","2013"
"6746","2013"
"6747","2015"
"6748","1841"
"6749","2017"
"6750","0"
"6751","0"
"6752","2018"
"6753","0"
"6754","2010"
"6755","0"
"6756","2008"
"6757","2012"
"6758","2019"
"6759","2002"
"6760","2004"
"6761","1980"
"6762","1938"
"6763","2013"
"6764","2010"
"6765","2017"
"6766","1887"
"6767","2011"
"6768","2011"
"6769","2019"
"6770","2018"
"6771","1900"
"6772","0"
"6773","1909"
"6774","0"
"6775","2018"
"6776","2009"
"6777","0"
"6778","2014"
"6779","0"
"6780","2004"
"6781","1991"
"6782","2010"
"6783","1888"
"6784","2015"
"6785","2018"
"6786","0"
"6787","0"
"6788","2015"
"6789","1999"
"6790","2019"
"6791","0"
"6792","2018"
"6793","2016"
"6794","2012"
"6795","2016"
"6796","2010"
"6797","0"
"6798","0"
"6799","2012"
"6800","2014"
"6801","2019"
"6802","2018"
"6803","2011"
"6804","2016"
"6805","0"
"6806","2018"
"6807","2017"
"6808","2017"
"6809","2015"
"6810","1975"
"6811","0"
"6812","0"
"6813","2009"
"6814","2019"
"6815","2015"
"6816","2019"
"6817","2016"
"6818","2011"
"6819","2010"
"6820","2013"
"6821","2018"
"6822","2019"
"6823","0"
"6824","2004"
"6825","2011"
"6826","2013"
"6827","2012"
"6828","1915"
"6829","2012"
"6830","2009"
"6831","2018"
"6832","2006"
"6833","2000"
"6834","2019"
"6835","V в. до н.э."
"6836","0"
"6837","2008"
"6838","2019"
"6839","0"
"6840","0"
"6841","0"
"6842","0"
"6843","0"
"6844","0"
"6845","0"
"6846","2017"
"6847","2011"
"6848","2017"
"6849","2004"
"6850","2013"
"6851","1895"
"6852","0"
"6853","2011"
"6854","2009"
"6855","2019"
"6856","2015"
"6857","2018"
"6858","2019"
"6859","2012"
"6860","2016"
"6861","2010"
"6862","2019"
"6863","0"
"6864","2018"
"6865","2014"
"6866","2015"
"6867","2018"
"6868","1913"
"6869","2014"
"6870","2005"
"6871","2018"
"6872","2019"
"6873","2004"
"6874","1996"
"6875","0"
"6876","2015"
"6877","0"
"6878","2016"
"6879","2013"
"6880","1988"
"6881","2016"
"6882","2019"
"6883","0"
"6884","1999"
"6885","2010"
"6886","0"
"6887","2016"
"6888","0"
"6889","2018"
"6890","0"
"6891","2015"
"6892","2017"
"6893","2015"
"6894","2015"
"6895","2018"
"6896","0"
"6897","1958"
"6898","0"
"6899","1895"
"6900","2013"
"6901","1903"
"6902","2017"
"6903","2008"
"6904","0"
"6905","0"
"6906","2014"
"6907","0"
"6908","2012"
"6909","2017"
"6910","2011"
"6911","2004"
"6912","2017"
"6913","2013"
"6914","2018"
"6915","2017"
"6916","2018"
"6917","0"
"6918","2019"
"6919","0"
"6920","2018"
"6921","1960"
"6922","2016"
"6923","2012"
"6924","2019"
"6925","2015"
"6926","2007"
"6927","0"
"6928","1937"
"6929","2017"
"6930","2016"
"6931","2018"
"6932","2017"
"6933","1995"
"6934","1861"
"6935","2017"
"6936","0"
"6937","2013"
"6938","0"
"6939","2015"
"6940","0"
"6941","0"
"6942","0"
"6943","2003"
"6944","0"
"6945","2014"
"6946","0"
"6947","2016"
"6948","0"
"6949","2015"
"6950","2019"
"6951","0"
"6952","2015"
"6953","1952"
"6954","2007"
"6955","2017"
"6956","2019"
"6957","2017"
"6958","2013"
"6959","2012"
"6960","2014"
"6961","2019"
"6962","2005"
"6963","2007"
"6964","2018"
"6965","2011"
"6966","2019"
"6967","2019"
"6968","0"
"6969","2013"
"6970","2003"
"6971","2011"
"6972","0"
"6973","0"
"6974","1993"
"6975","0"
"6976","0"
"6977","0"
"6978","2019"
"6979","2013"
"6980","2009"
"6981","2012"
"6982","2009"
"6983","2015"
"6984","0"
"6985","0"
"6986","2011"
"6987","2018"
"6988","2018"
"6989","2014"
"6990","2019"
"6991","2015"
"6992","2014"
"6993","0"
"6994","2017"
"6995","2008"
"6996","0"
"6997","2018"
"6998","2006"
"6999","0"
"7000","2017"
"7001","1886"
"7002","2000"
"7003","2017"
"7004","1999"
"7005","2014"
"7006","0"
"7007","2007"
"7008","2006"
"7009","1996"
"7010","0"
"7011","2013"
"7012","2014"
"7013","2018"
"7014","2007"
"7015","2005"
"7016","2012"
"7017","0"
"7018","2007"
"7019","2009"
"7020","2019"
"7021","2017"
"7022","2009"
"7023","0"
"7024","0"
"7025","0"
"7026","2013"
"7027","2013"
"7028","2017"
"7029","2013"
"7030","0"
"7031","2017"
"7032","2016"
"7033","0"
"7034","0"
"7035","2016"
"7036","2014"
"7037","2007"
"7038","0"
"7039","2014"
"7040","0"
"7041","2017"
"7042","0"
"7043","1997"
"7044","2013"
"7045","2013"
"7046","2018"
"7047","1998"
"7048","2019"
"7049","2015"
"7050","2017"
"7051","2018"
"7052","0"
"7053","2010"
"7054","2016"
"7055","1814"
"7056","2011"
"7057","1597"
"7058","0"
"7059","2012"
"7060","2017"
"7061","2004"
"7062","2017"
"7063","2017"
"7064","2014"
"7065","0"
"7066","0"
"7067","2017"
"7068","2011"
"7069","2017"
"7070","0"
"7071","0"
"7072","2016"
"7073","1855"
"7074","2007"
"7075","2007"
"7076","2019"
"7077","2003"
"7078","0"
"7079","2018"
"7080","2018"
"7081","0"
"7082","2014"
"7083","2018"
"7084","2017"
"7085","2018"
"7086","2018"
"7087","2011"
"7088","2009"
"7089","0"
"7090","0"
"7091","2019"
"7092","2002"
"7093","2012"
"7094","2011"
"7095","2017"
"7096","2018"
"7097","1978"
"7098","1904"
"7099","2013"
"7100","2014"
"7101","2015"
"7102","1990"
"7103","0"
"7104","2012"
"7105","2017"
"7106","2013"
"7107","1975"
"7108","2019"
"7109","1947"
"7110","2014"
"7111","0"
"7112","2017"
"7113","2019"
"7114","2017"
"7115","2014"
"7116","2017"
"7117","0"
"7118","2013"
"7119","2010"
"7120","2010"
"7121","2008"
"7122","2012"
"7123","2017"
"7124","2013"
"7125","1914"
"7126","0"
"7127","2014"
"7128","1894"
"7129","0"
"7130","2007"
"7131","2013"
"7132","1926"
"7133","1986"
"7134","0"
"7135","2013"
"7136","0"
"7137","0"
"7138","2016"
"7139","0"
"7140","0"
"7141","2007"
"7142","2018"
"7143","1902"
"7144","2008"
"7145","0"
"7146","0"
"7147","2017"
"7148","1862"
"7149","2019"
"7150","0"
"7151","2015"
"7152","2019"
"7153","2015"
"7154","2010"
"7155","0"
"7156","2017"
"7157","2011"
"7158","2019"
"7159","2014"
"7160","0"
"7161","2015"
"7162","2016"
"7163","2015"
"7164","2011"
"7165","0"
"7166","2015"
"7167","0"
"7168","2017"
"7169","2010"
"7170","2011"
"7171","2015"
"7172","2018"
"7173","2010"
"7174","2003"
"7175","2019"
"7176","2011"
"7177","2007"
"7178","1994"
"7179","2019"
"7180","1976"
"7181","1998"
"7182","2016"
"7183","0"
"7184","0"
"7185","1952"
"7186","2016"
"7187","0"
"7188","1939"
"7189","2013"
"7190","2018"
"7191","2013"
"7192","0"
"7193","2007"
"7194","2016"
"7195","2014"
"7196","0"
"7197","2018"
"7198","2012"
"7199","2012"
"7200","0"
"7201","2019"
"7202","1902"
"7203","2009"
"7204","1981"
"7205","0"
"7206","2018"
"7207","2016"
"7208","2018"
"7209","1832"
"7210","2011"
"7211","2014"
"7212","2017"
"7213","2006"
"7214","2019"
"7215","0"
"7216","2018"
"7217","0"
"7218","2015"
"7219","2011"
"7220","2006"
"7221","2008"
"7222","2013"
"7223","0"
"7224","2016"
"7225","0"
"7226","2019"
"7227","0"
"7228","1919"
"7229","2010"
"7230","0"
"7231","2008"
"7232","1959"
"7233","2015"
"7234","2011"
"7235","2010"
"7236","2019"
"7237","2012"
"7238","2017"
"7239","2001"
"7240","0"
"7241","2017"
"7242","0"
"7243","2019"
"7244","2017"
"7245","2014"
"7246","2017"
"7247","2018"
"7248","2018"
"7249","2016"
"7250","0"
"7251","2015"
"7252","2012"
"7253","2015"
"7254","0"
"7255","1920"
"7256","0"
"7257","1909"
"7258","2013"
"7259","2013"
"7260","2018"
"7261","0"
"7262","2019"
"7263","0"
"7264","2007"
"7265","1943"
"7266","1992"
"7267","2016"
"7268","1901"
"7269","0"
"7270","2015"
"7271","2018"
"7272","1868"
"7273","2019"
"7274","2019"
"7275","1936"
"7276","0"
"7277","2014"
"7278","1982"
"7279","2014"
"7280","1941"
"7281","2014"
"7282","2003"
"7283","0"
"7284","2018"
"7285","2016"
"7286","2015"
"7287","2014"
"7288","2017"
"7289","2019"
"7290","0"
"7291","2018"
"7292","2014"
"7293","1917"
"7294","2019"
"7295","2019"
"7296","2019"
"7297","0"
"7298","0"
"7299","2016"
"7300","1978"
"7301","2012"
"7302","2018"
"7303","0"
"7304","2000"
"7305","2012"
"7306","2015"
"7307","2009"
"7308","0"
"7309","2017"
"7310","2010"
"7311","2002"
"7312","1987"
"7313","0"
"7314","1870"
"7315","2015"
"7316","2008"
"7317","2001"
"7318","2014"
"7319","2017"
"7320","0"
"7321","2010"
"7322","2007"
"7323","0"
"7324","2018"
"7325","2014"
"7326","1919"
"7327","1986"
"7328","0"
"7329","0"
"7330","1956"
"7331","2008"
"7332","2016"
"7333","1992"
"7334","2014"
"7335","2009"
"7336","2016"
"7337","2012"
"7338","2011"
"7339","2019"
"7340","2016"
"7341","2011"
"7342","0"
"7343","2019"
"7344","2018"
"7345","2018"
"7346","2013"
"7347","0"
"7348","2009"
"7349","2018"
"7350","0"
"7351","1991"
"7352","0"
"7353","2016"
"7354","0"
"7355","2017"
"7356","1939"
"7357","2009"
"7358","2009"
"7359","2012"
"7360","2015"
"7361","0"
"7362","2016"
"7363","2015"
"7364","2018"
"7365","0"
"7366","1882"
"7367","2009"
"7368","2015"
"7369","2015"
"7370","2000"
"7371","2015"
"7372","2017"
"7373","2019"
"7374","2016"
"7375","2004"
"7376","0"
"7377","2019"
"7378","1785"
"7379","1842"
"7380","0"
"7381","2010"
"7382","0"
"7383","1950"
"7384","0"
"7385","2011"
"7386","2012"
"7387","2016"
"7388","1979"
"7389","1947"
"7390","1841"
"7391","2008"
"7392","2019"
"7393","2013"
"7394","0"
"7395","0"
"7396","2016"
"7397","0"
"7398","2019"
"7399","2013"
"7400","2014"
"7401","2017"
"7402","0"
"7403","1996"
"7404","2008"
"7405","2015"
"7406","0"
"7407","0"
"7408","2007"
"7409","0"
"7410","0"
"7411","2018"
"7412","2011"
"7413","1988"
"7414","2015"
"7415","0"
"7416","2010"
"7417","2011"
"7418","2017"
"7419","2019"
"7420","1975"
"7421","2012"
"7422","2019"
"7423","0"
"7424","2011"
"7425","2016"
"7426","2016"
"7427","0"
"7428","2015"
"7429","2013"
"7430","0"
"7431","2013"
"7432","0"
"7433","2019"
"7434","2013"
"7435","2017"
"7436","2015"
"7437","2015"
"7438","2009"
"7439","0"
"7440","2011"
"7441","2011"
"7442","2016"
"7443","2017"
"7444","0"
"7445","2014"
"7446","2017"
"7447","0"
"7448","2018"
"7449","2014"
"7450","2003"
"7451","0"
"7452","2011"
"7453","0"
"7454","2005"
"7455","2009"
"7456","2019"
"7457","2018"
"7458","2018"
"7459","2013"
"7460","2014"
"7461","1907"
"7462","2005"
"7463","2017"
"7464","2018"
"7465","2015"
"7466","2009"
"7467","2017"
"7468","2009"
"7469","2010"
"7470","2004"
"7471","1983"
"7472","2002"
"7473","2019"
"7474","2010"
"7475","2012"
"7476","2019"
"7477","0"
"7478","2011"
"7479","1999"
"7480","0"
"7481","2012"
"7482","2019"
"7483","2015"
"7484","1959"
"7485","2014"
"7486","2017"
"7487","2017"
"7488","2017"
"7489","0"
"7490","2017"
"7491","1996"
"7492","2004"
"7493","1996"
"7494","0"
"7495","2017"
"7496","2014"
"7497","2000"
"7498","2013"
"7499","2009"
"7500","0"
"7501","1950"
"7502","2010"
"7503","2006"
"7504","0"
"7505","2013"
"7506","2012"
"7507","2016"
"7508","2016"
"7509","2018"
"7510","2012"
"7511","2018"
"7512","0"
"7513","2015"
"7514","2013"
"7515","2008"
"7516","2018"
"7517","2018"
"7518","2010"
"7519","2019"
"7520","2018"
"7521","1908"
"7522","2009"
"7523","2015"
"7524","0"
"7525","2008"
"7526","2019"
"7527","2015"
"7528","2013"
"7529","2019"
"7530","2010"
"7531","2014"
"7532","2011"
"7533","2008"
"7534","2010"
"7535","2018"
"7536","2009"
"7537","2009"
"7538","1994"
"7539","2008"
"7540","0"
"7541","2009"
"7542","2018"
"7543","2013"
"7544","1911"
"7545","2014"
"7546","1890"
"7547","2018"
"7548","2017"
"7549","2014"
"7550","1928"
"7551","0"
"7552","1897"
"7553","0"
"7554","2017"
"7555","2011"
"7556","2010"
"7557","2017"
"7558","2015"
"7559","2018"
"7560","2010"
"7561","2017"
"7562","2018"
"7563","2015"
"7564","2015"
"7565","1916"
"7566","2008"
"7567","2016"
"7568","2019"
"7569","2019"
"7570","2013"
"7571","1996"
"7572","0"
"7573","2014"
"7574","2011"
"7575","2014"
"7576","0"
"7577","2018"
"7578","2013"
"7579","2017"
"7580","0"
"7581","2006"
"7582","2016"
"7583","0"
"7584","2018"
"7585","0"
"7586","2008"
"7587","2017"
"7588","2010"
"7589","0"
"7590","2015"
"7591","1995"
"7592","2015"
"7593","2019"
"7594","2015"
"7595","2018"
"7596","2017"
"7597","2019"
"7598","0"
"7599","0"
"7600","0"
"7601","2018"
"7602","2015"
"7603","2017"
"7604","0"
"7605","2012"
"7606","0"
"7607","2016"
"7608","2014"
"7609","2012"
"7610","2015"
"7611","0"
"7612","0"
"7613","1919"
"7614","2012"
"7615","0"
"7616","2017"
"7617","0"
"7618","2018"
"7619","1841"
"7620","2014"
"7621","0"
"7622","2009"
"7623","2018"
"7624","2004"
"7625","2014"
"7626","2009"
"7627","2016"
"7628","2013"
"7629","2019"
"7630","2013"
"7631","0"
"7632","2010"
"7633","2018"
"7634","2015"
"7635","2000"
"7636","0"
"7637","2019"
"7638","2015"
"7639","2010"
"7640","1906"
"7641","2015"
"7642","2015"
"7643","0"
"7644","2017"
"7645","0"
"7646","0"
"7647","2016"
"7648","2006"
"7649","0"
"7650","2015"
"7651","2013"
"7652","2007"
"7653","2018"
"7654","2019"
"7655","2019"
"7656","2003"
"7657","2015"
"7658","2014"
"7659","1987"
"7660","2004"
"7661","2011"
"7662","0"
"7663","2018"
"7664","0"
"7665","2019"
"7666","2012"
"7667","2016"
"7668","0"
"7669","2018"
"7670","2012"
"7671","0"
"7672","2019"
"7673","2014"
"7674","2019"
"7675","2017"
"7676","2018"
"7677","2010"
"7678","2019"
"7679","2018"
"7680","0"
"7681","2018"
"7682","0"
"7683","2015"
"7684","2009"
"7685","2013"
"7686","2016"
"7687","2014"
"7688","1905"
"7689","2019"
"7690","1999"
"7691","2016"
"7692","2017"
"7693","2014"
"7694","2000"
"7695","1993"
"7696","2014"
"7697","2015"
"7698","2019"
"7699","2013"
"7700","0"
"7701","2017"
"7702","2018"
"7703","2015"
"7704","2012"
"7705","2017"
"7706","2016"
"7707","0"
