"genres","agreg_genres"
"Книги для подростков","Детская литература"
"Книги о войне","Документальная и историческая литература"
"Документальная литература","Документальная и историческая литература"
"Документы","Документальная и историческая литература"
"Историческая литература","Документальная и историческая литература"
"Хронология","Документальная и историческая литература"
"Домашнее хозяйство","Домашнее хозяйство"
"Домашние животные","Домашнее хозяйство"
"Животноводство","Домашнее хозяйство"
"Производство птицы","Домашнее хозяйство"
"Растениеводство","Домашнее хозяйство"
"Рыбное хозяйство","Домашнее хозяйство"
"Сад и огород","Домашнее хозяйство"
"Сельское хозяйство","Домашнее хозяйство"
"Агрохимия","Естественные науки"
"Астрономия","Естественные науки"
"Атомная энергетика","Естественные науки"
"Биохимия","Естественные науки"
"Ботаника","Естественные науки"
"География","Естественные науки"
"Геология","Естественные науки"
"Естествознание","Естественные науки"
"Зоология","Естественные науки"
"Материаловедение","Естественные науки"
"Механика","Естественные науки"
"Микробиология","Естественные науки"
"Наука и технологии","Естественные науки"
"Общая биология","Естественные науки"
"Общая химия","Естественные науки"
"Палеонтология","Естественные науки"
"Природа и животные","Естественные науки"
"Физика","Естественные науки"
"Экология","Естественные науки"
"Здоровое и правильное питание","Здоровье и спорт"
"Здоровый образ жизни / фитнес","Здоровье и спорт"
"Здоровье","Здоровье и спорт"
"Здоровье детей","Здоровье и спорт"
"Йога","Здоровье и спорт"
"Общественное питание","Здоровье и спорт"
"Похудение и диеты","Здоровье и спорт"
"Спорт / фитнес","Здоровье и спорт"
"Физкультура и спорт","Здоровье и спорт"
"Forex","Инвестиции"
" инвестиции","Инвестиции"
"Привлечение инвестиций","Инвестиции"
"Транзакционный анализ","Инвестиции"
"Трейдинг","Инвестиции"
"Ценные бумаги / инвестиции","Инвестиции"
"Иностранные языки","Иностранные языки"
"Испанский язык","Иностранные языки"
"Итальянский язык","Иностранные языки"
"Немецкий язык","Иностранные языки"
"Польский язык","Иностранные языки"
"Разговорники","Иностранные языки"
"Французский язык","Иностранные языки"
"Языковые словари","Иностранные языки"
"Английский язык","Иностранные языки"
"Зарубежная драматургия","Искусство и культура"
"Зарубежная литература о культуре и искусстве","Искусство и культура"
"История искусства","Искусство и культура"
"Кинематограф / театр","Искусство и культура"
"Контркультура","Искусство и культура"
"Культурология","Искусство и культура"
"Музеи и коллекции","Искусство и культура"
"Музыка","Искусство и культура"
"Опера / балет","Искусство и культура"
"Ораторское искусство / риторика","Искусство и культура"
"Памятники истории и культуры","Искусство и культура"
"Пьесы и драматургия","Искусство и культура"
"Русская драматургия","Искусство и культура"
"Телевидение","Искусство и культура"
"Христианское искусство","Искусство и культура"
"Цирк","Искусство и культура"
"Эстетика","Искусство и культура"
"Этика","Искусство и культура"
"Изобразительное искусство","Искусство и культура"
"Искусство фотографии","Искусство и культура"
"Искусствоведение","Искусство и культура"
"Всемирная история","История"
"История Древнего мира","История"
"История политических учений","История"
"История России","История"
"История Средних веков","История"
"Новейшая история","История"
"Новое время","История"
"Общая история","История"
"Популярно об истории","История"
"Зарубежная классика","Классическая литература"
"Русская классика","Классическая литература"
"Литература 18 века","Классическая литература"
"Литература 19 века","Классическая литература"
"Литература 20 века","Классическая литература"
"Классическая проза","Классическая литература"
"Зарубежная компьютерная литература","Компьютерная литература"
"Интернет","Компьютерная литература"
"Информатика и вычислительная техника","Компьютерная литература"
"Информационная безопасность","Компьютерная литература"
"Книги о компьютерах","Компьютерная литература"
"Компьютерная справочная литература","Компьютерная литература"
"Компьютерное железо","Компьютерная литература"
"ОС и сети","Компьютерная литература"
"Программирование","Компьютерная литература"
"Программы","Компьютерная литература"
"Безалкогольные напитки","Кулинария"
"Бродильные производства","Кулинария"
"Кулинария","Кулинария"
"Пищевое производство","Кулинария"
"Зарубежные любовные романы","Любовные произведения"
"Исторические любовные романы","Любовные произведения"
"Классические любовные романы","Любовные произведения"
"Короткие любовные романы","Любовные произведения"
"Остросюжетные любовные романы","Любовные произведения"
"Современные любовные романы","Любовные произведения"
"Акушерство и гинекология","Медицина"
"Альтернативная медицина","Медицина"
"Анатомия и физиология","Медицина"
"Анестезиология","Медицина"
"Ветеринария","Медицина"
"Вирусология","Медицина"
"Гастроэнтерология","Медицина"
"Генетика","Медицина"
"Геронтология","Медицина"
"Гигиена","Медицина"
"Дерматология","Медицина"
"Иммунология и аллергология","Медицина"
"Кардиология","Медицина"
"Клиническая медицина","Медицина"
"Медицина","Медицина"
"Наркология","Медицина"
"Народная и нетрадиционная медицина","Медицина"
"Неврология","Медицина"
"Нейробиология","Медицина"
"Общая патология","Медицина"
"Онкология","Медицина"
"Ортопедия и травматология","Медицина"
"Оториноларингология","Медицина"
"Офтальмология","Медицина"
"Паразитология","Медицина"
"Педиатрия и неонатология","Медицина"
"Популярно о медицине","Медицина"
"Прикладные отрасли медицины","Медицина"
"Психиатрия","Медицина"
"Психотерапия","Медицина"
